# Obs_X , Obs_Y , Obs_Z , UV_X , UV_Y , UV_Z , Vmag , detID , eclipticLat , obsCode , solarElong , timeUTC , trkID
-0.7891395271376418 , -0.6255093959516933 , -5.886580971146938e-06 , -0.878223265685547 , -0.4458365586669745 , -0.17307125285443137 , None , L1UJng000000Crte0100001m7 , -0.1739471306120292 , W84 , 2.876935893997822 , 2456776.4895 , 00000VF-fh
-0.7892046044074102 , -0.6254224172059862 , -6.349906040180194e-06 , -0.8782123269194174 , -0.44585898141701763 , -0.17306899646257162 , None , L1UJng000000Crte0100001m5 , -0.1739448396483929 , W84 , 2.8770375207412795 , 2456776.48316 , 00000VF-fh
-0.789172175288079 , -0.6254657660485914 , -6.1208111056047145e-06 , -0.8782177486482386 , -0.4458479992539558 , -0.17306977645003113 , None , L1UJng000000Crte0100001m6 , -0.173945631586488 , W84 , 2.8769872463245476 , 2456776.48632 , 00000VF-fh
-0.7892370200511393 , -0.6253790752179036 , -6.575260769966467e-06 , -0.8782075518671787 , -0.4458686639862422 , -0.17306828224310822 , None , L1UJng000000Crte0100001m4 , -0.1739441144860598 , W84 , 2.8770866278019356 , 2456776.48 , 00000VF-fh
-0.789269012341419 , -0.625336288776789 , -6.7940075150729295e-06 , -0.8782029851625672 , -0.44587854961092205 , -0.17306598697726905 , 23.3 , L1UJng000000Crte0100001m3 , -0.1739417840540715 , W84 , 2.8771363119594846 , 2456776.47688 , 00000VF-fh
-0.20441445389350524 , 0.9618817225896448 , -3.701352974953633e-05 , -0.40066717276749714 , 0.865505345308041 , 0.30060990321296693 , 21.3 , L01LR20000006Un401000008i , 0.30533207063824497 , F51 , 2.7648710166156 , 2457755.94407 , 000002oGnT
-0.20481952447079854 , 0.9617946733874677 , -3.6192086104102616e-05 , -0.40057422853404767 , 0.865551076320912 , 0.3006020986521275 , 21.4 , L01LR20000006Un401000008k , 0.30532388759883294 , F51 , 2.7651833647324278 , 2457755.96742 , 000002oGnT
-0.22234801073495694 , 0.9578849747073542 , -3.388818874664943e-05 , -0.39660615797135945 , 0.8675060874537789 , 0.30022781964673667 , 21.2 , L030PC0000006UrT01000004i , 0.3049314828678519 , F51 , 2.7782270793760366 , 2457756.99353 , 000002oLww
0.9880765508126287 , 0.15958432030338215 , 2.3189205578303734e-05 , 0.771686053568441 , 0.6006995369215797 , 0.20895143232379323 , 19.1 , KUWLAe0100004kto01000000p , 0.2105026005008946 , 461 , 2.601374643677918 , 2455837.39164 , 000000fRre
0.7080410602547298 , 0.6934950038836676 , -3.208482204127341e-05 , -0.4729638152131122 , 0.8430563630584293 , 0.25604921051577345 , 21.9 , Kz5Het0100006SNh01000006i , 0.25893294090634633 , F51 , 1.8255582858817019 , 2457699.12334 , 000002lG8B
0.7078604707631452 , 0.6936693923380722 , -3.14302609420343e-05 , -0.4729891808438911 , 0.8430365424883852 , 0.2560676137934157 , 22.1 , Kz5Het0100006SNh01000006k , 0.25895197888525295 , F51 , 1.825769582762003 , 2457699.13773 , 000002lG8B
-0.032226833190275216 , 0.9831187287362636 , -3.903095995248148e-05 , -0.4363898096266528 , 0.8478646726445682 , 0.30114685941469294 , 21.5 , KzrEii0100006UJ901000001T , 0.30589511699938726 , F51 , 2.6093966227210057 , 2457746.01468 , 000002nbzt
-0.20461677008375473 , 0.9618383675289113 , -3.6643657576741114e-05 , -0.40062114875465094 , 0.8655278667613068 , 0.3006063988509317 , 21.1 , L01LR20000006Un401000008j , 0.3053283963311809 , F51 , 2.7650264029382043 , 2457755.95573 , 000002oGnT
-0.20502287488227613 , 0.9617506062376856 , -3.566011039698664e-05 , -0.400527472245846 , 0.8655738877628307 , 0.3005987172286194 , 21.1 , L01LR20000006Un401000008l , 0.3053203422013068 , F51 , 2.7653397045979577 , 2457755.97915 , 000002oGnT
-0.22213147217051968 , 0.9579361978804017 , -3.4572332774136745e-05 , -0.39665665791581123 , 0.8674811323270798 , 0.3002332106672858 , 21.2 , L030PC0000006UrT01000004h , 0.3049371346226288 , F51 , 2.7780690758766533 , 2457756.98098 , 000002oLww
-0.22256439688578827 , 0.9578335157987923 , -3.312249507141075e-05 , -0.396555841596014 , 0.8675308720400869 , 0.300222668287129 , 21.2 , L030PC0000006UrT01000004j , 0.30492608237450075 , F51 , 2.7783846119405156 , 2457757.00608 , 000002oLww
0.7572682032040162 , 0.6410404399921003 , -2.4907562073647006e-06 , 0.805125037970648 , 0.5131566203943725 , 0.29739528607257437 , 19.3 , KV2Bn40100005a5P0100002rG , 0.30196333983761203 , G96 , 2.8116564839647222 , 2455868.69756 , 000001eT3I
0.7569701833509751 , 0.6413862884072616 , -4.841784679394691e-06 , 0.8051599297274714 , 0.513077022533769 , 0.29743815577214644 , 19.6 , KV2Bn40100005a5P0100002rJ , 0.30200824143483346 , G96 , 2.811394903196281 , 2455868.72363 , 000001eT3I
0.9881024011117955 , 0.15943705308979655 , 2.3808956732697104e-05 , 0.7716829381630551 , 0.600714992949967 , 0.20891850131847015 , 19.2 , KUWLAe0100004kto01000000x , 0.2104689262901527 , 461 , 2.601237204970925 , 2455837.38302 , 000000fRrh
0.9881408618981306 , 0.15921685812856037 , 2.4723228930813204e-05 , 0.7716785134595165 , 0.6007376989978693 , 0.20886954988139408 , 18.9 , KUWLAe0100004kto01000000n , 0.21041887053723393 , 461 , 2.601032024612595 , 2455837.37013 , 000000fRre
