# isNEO , objectID , objectType , orbit_AP , orbit_LAN , orbit_TP , orbit_e , orbit_i , orbit_q
False , K10A00006T , None , 230.5307013 , 272.1825922 , 2459063.1294005 , 0.257350679 , 23.0032818 , 1.685605584
False , K10A00007Z , None , 29.6606148 , 65.8046427 , 2459105.6588598 , 0.228535984 , 6.5133343 , 1.805459317
False , K10A00014E , None , 36.5691076 , 297.2804162 , 2458972.8024741 , 0.193467631 , 13.840442 , 2.004152841
False , K10A00128T , None , 160.0069395 , 152.1973212 , 2457836.2239908 , 0.205950294 , 11.3982865 , 2.484003517
False , K10A00004C , None , 148.9291917 , 253.4657506 , 2457958.0559476 , 0.095583333 , 13.3653471 , 2.296399124
False , K10A00054S , None , 332.7128088 , 119.6395168 , 2458460.4807549 , 0.122261238 , 10.3927435 , 2.452396571
False , K10A00039L , None , 78.3545257 , 105.9742456 , 2458585.5403714 , 0.204755661 , 25.4703805 , 2.100945795
False , K10A00025E , None , 1.3863604 , 101.9736037 , 2458332.1038385 , 0.047841791 , 3.3072983 , 2.557657162
False , K10A00034E , None , 194.1663856 , 28.9751438 , 2458583.4808614 , 0.121227876 , 2.382517 , 2.264919466
False , K10A00064O , None , 153.1403061 , 332.4283702 , 2459340.0701261 , 0.187447704 , 10.9075003 , 2.549392127
False , K10A00028B , None , 312.0021283 , 71.7200413 , 2458241.6250345 , 0.10143292 , 4.3738796 , 2.48811141
False , K10A00117M , None , 38.1812542 , 270.9856494 , 2454969.3652345 , 0.241365017 , 7.5437975 , 1.598074107
False , K10A00023T , None , 326.0800219 , 192.5118213 , 2458609.4223667 , 0.148584394 , 1.4398245 , 2.320621885
False , K10A00030M , None , 1.9389734 , 74.9013528 , 2455139.6441433 , 0.125344287 , 5.4757304 , 2.430365934
False , K10A00130J , None , 199.2497413 , 177.9508787 , 2459142.0438524 , 0.216434221 , 13.5749202 , 2.462949201
False , K10A00142G , None , 113.5860925 , 323.4726533 , 2459055.4950083 , 0.090682817 , 6.3637175 , 2.141183594
False , K10A00007H , None , 143.5002452 , 291.8235711 , 2455042.2292856 , 0.102967351 , 8.5021625 , 2.472230612
False , K10A00079J , None , 254.8870518 , 311.9286966 , 2458092.8840655 , 0.186726383 , 22.0444592 , 1.91675441
False , K10A00047A , None , 243.069101 , 282.0810778 , 2459185.2976336 , 0.111871598 , 9.4911822 , 2.657991381
False , K10A00074N , None , 347.8787602 , 137.5666666 , 2457970.4129527 , 0.168088018 , 6.3923148 , 2.002847734
False , K10A00036V , None , 27.819545 , 77.6472499 , 2458255.0914615 , 0.13226994 , 4.9254143 , 2.287210886
False , K10A00009O , None , 341.595808 , 129.4771763 , 2458931.8394966 , 0.107916084 , 2.3404786 , 2.660589322
True , K10A00003F , None , 289.9551812 , 285.644921 , 2458670.2063791 , 0.123682108 , 11.825571 , 0.890900681
False , K10A00020P , None , 350.6387058 , 137.4874937 , 2459167.00652 , 0.042280062 , 10.9258901 , 2.938129242
False , K10B00012A , None , 358.9647207 , 270.5912423 , 2458936.0406072 , 0.193281303 , 14.1091494 , 2.250351833
False , K10B00000H , None , 326.6377212 , 310.3090884 , 2455993.3423491 , 0.122672847 , 9.6142884 , 2.592603283
False , K10A00080Q , None , 140.0197518 , 310.2138451 , 2455101.7608424 , 0.217443933 , 32.5615141 , 2.038627468
False , K10A00004G , None , 229.4937352 , 285.6938577 , 2457993.8469804 , 0.170293065 , 3.8708355 , 1.947570052
False , K10A00002E , None , 153.7115468 , 313.5675344 , 2455179.7379341 , 0.270051187 , 10.669496 , 2.168604143
False , K10A00003W , None , 220.0068094 , 322.125588 , 2455356.9876272 , 0.152424732 , 3.7568345 , 1.71582031
False , K10A00143V , None , 132.1636228 , 322.0693434 , 2459065.2182186 , 0.141340505 , 10.9116814 , 2.64427864
False , K10B00006R , None , 203.785329 , 345.9214878 , 2459194.7952737 , 0.100031634 , 12.080118 , 2.776100487
False , K10A00030K , None , 357.7860593 , 83.0257497 , 2459079.3575809 , 0.122276762 , 13.4438154 , 2.753793234
True , K10A00061N , None , 8.6941638 , 116.4194773 , 2458407.1987195 , 0.132299798 , 3.6128551 , 1.003772117
False , K10A00000G , None , 44.5649398 , 89.2934221 , 2459362.5683206 , 0.107739853 , 11.1103587 , 2.760831737
False , K10A00144B , None , 321.0266302 , 99.7183669 , 2458957.2593863 , 0.121717867 , 10.3946032 , 2.739023911
False , K10A00036L , None , 228.3943606 , 279.4304518 , 2458699.6391559 , 0.157689156 , 6.3948997 , 2.359538243
False , K10A00143B , None , 99.3277338 , 78.8845872 , 2455344.2629874 , 0.235245983 , 3.6374252 , 1.856642922
False , K10A00062W , None , 162.9324241 , 262.8302191 , 2459106.2620922 , 0.209461641 , 4.2800586 , 1.866926349
False , K10B00006O , None , 132.0494882 , 100.4199703 , 2459373.3839555 , 0.169607119 , 9.3250102 , 2.564840098
False , K10A00138K , None , 253.0468029 , 340.9767914 , 2459532.6918167 , 0.233191063 , 10.9264365 , 2.436888454
True , K10B00002H , None , 45.7099524 , 108.2423482 , 2459220.954629 , 0.463244169 , 24.6220811 , 1.261283703
False , K10A00038D , None , 295.4553624 , 118.2070198 , 2454870.0846559 , 0.103665526 , 12.8083397 , 2.605196333
False , K10A00053L , None , 230.709604 , 295.2556436 , 2459392.3877727 , 0.231185956 , 12.6646315 , 2.414459746
True , K10A00040G , None , 183.7838725 , 21.5797973 , 2458666.6888085 , 0.608291115 , 2.0304219 , 0.68749936
False , K10A00143S , None , 91.7932364 , 276.4392504 , 2458781.7651866 , 0.233363777 , 14.580878 , 2.392325645
False , K10A00110N , None , 222.3115244 , 284.0513366 , 2459266.4217693 , 0.190149163 , 26.2450808 , 2.592549712
False , K10A00045H , None , 309.4067776 , 303.2728157 , 2458159.8721546 , 0.156310326 , 5.2976048 , 1.909710934
False , K10A00127P , None , 253.3011101 , 163.9640501 , 2458927.788699 , 0.092565185 , 11.3758319 , 2.667843681
False , K10A00072K , None , 256.6023284 , 335.0653117 , 2458108.5031386 , 0.061655219 , 6.5966652 , 2.148872231
False , K10A00019N , None , 348.3663609 , 83.2723189 , 2458989.5505283 , 0.048678191 , 13.0182993 , 2.934374592
False , K10A00060J , None , 249.0369357 , 301.7161709 , 2458467.0205334 , 0.314101869 , 28.2472737 , 1.801167295
False , K10A00110Y , None , 125.7585027 , 136.7519736 , 2457625.1126034 , 0.177428544 , 10.9119003 , 2.61284087
True , K10A00003B , None , 143.216966 , 296.2512493 , 2458422.1931171 , 0.612906123 , 2.2535526 , 1.044603452
False , K10B00001L , None , 87.8278359 , 294.5617874 , 2458994.3865301 , 0.135492592 , 17.5551418 , 2.785128437
False , K10A00100W , None , 322.3581749 , 138.6139947 , 2459334.1512244 , 0.053604536 , 16.1851824 , 2.86652474
