# isNEO , objectID , objectType , orbit_AP , orbit_LAN , orbit_TP , orbit_e , orbit_i , orbit_q
False , K10A00039F , None , 178.5556879 , 300.1728203 , 2459067.2420956 , 0.208693141 , 16.0196726 , 2.379811868
False , K10M00116S , None , 43.649058 , 297.5476176 , 2460231.6622583 , 0.03451956 , 10.6490454 , 5.110847887
False , K10L00064U , None , 63.4153135 , 185.7748464 , 2458081.8620237 , 0.084090602 , 6.9374707 , 2.204280018
True , K10M00000B , None , 19.1510072 , 87.7961915 , 2458596.7695855 , 0.156361114 , 11.6753028 , 0.799691034
False , K10F00095O , None , 72.9188287 , 111.1475568 , 2455248.9927694 , 0.155466061 , 1.9311126 , 1.724273409
False , K10H00062B , None , 119.6454249 , 4.1136578 , 2459507.5416648 , 0.381889066 , 24.9834436 , 2.007336738
False , K10D00009E , None , 328.8993263 , 128.0911529 , 2455074.5981642 , 0.14881477 , 3.9670624 , 2.576773503
False , K10C00063J , None , 186.7215244 , 342.5987208 , 2458368.1500551 , 0.07345147 , 21.9181312 , 2.421964162
False , K10J00080A , None , 135.6744535 , 87.4595313 , 2458317.4659885 , 0.029108892 , 15.0077009 , 2.516709564
False , K10C00157P , None , 220.105118 , 350.9244637 , 2459424.3818305 , 0.202858335 , 26.4830262 , 2.482313534
False , K10C00023X , None , 124.4802265 , 307.6182797 , 2455046.9636568 , 0.208506774 , 7.414066 , 2.138307182
False , K10J00167O , None , 95.1634181 , 172.3279816 , 2458847.9117188 , 0.072504685 , 5.7632048 , 2.577746951
False , K10C00113K , None , 125.6423463 , 86.7150891 , 2458025.1006177 , 0.131141578 , 2.116065 , 2.023455019
False , K10C00056J , None , 1.0000731 , 156.3588311 , 2458391.4193757 , 0.392408507 , 10.0761278 , 1.602329252
False , K10J00173Y , None , 338.3160654 , 54.9686936 , 2459302.0600327 , 0.08495303 , 16.0236995 , 2.467529789
False , K10L00019X , None , 76.8566775 , 259.1572277 , 2459376.2458001 , 0.164852571 , 13.8878427 , 2.580718258
False , K10D00049E , None , 345.8390476 , 154.5456855 , 2459003.9067388 , 0.224760379 , 24.8750841 , 1.774954548
True , K10G00065L , None , 329.2362947 , 203.2698924 , 2459070.2107266 , 0.478336141 , 3.3658623 , 0.985899323
False , K10D00043P , None , 5.7368704 , 339.0384493 , 2458091.9718329 , 0.095716417 , 9.5688641 , 2.725040227
False , K10F00024G , None , 289.4271948 , 356.1656269 , 2458936.3091891 , 0.136634917 , 15.355614 , 2.34008699
False , K10E00121X , None , 187.1765762 , 350.4114154 , 2458271.218134 , 0.070831957 , 19.4312545 , 1.82243934
False , K10C00104S , None , 185.8477206 , 146.2545506 , 2454318.9143531 , 0.06387241 , 4.1562161 , 2.782696181
False , K10G00030G , None , 0.1694452 , 33.1804156 , 2454907.2094695 , 0.088603317 , 31.9371779 , 1.585959485
False , K10B00000H , None , 326.6377212 , 310.3090884 , 2455993.3423491 , 0.122672847 , 9.6142884 , 2.592603283
False , K10A00036B , None , 237.503307 , 273.3640501 , 2459079.4887644 , 0.146944243 , 6.1231548 , 1.954710629
False , K10H00104A , None , 300.5238537 , 297.9780869 , 2459549.7131694 , 0.509468724 , 41.768852 , 1.562573237
False , K10E00036Y , None , 188.2242457 , 330.5722016 , 2459187.6223196 , 0.152642608 , 1.9276572 , 1.994239668
False , K10F00029C , None , 213.7345744 , 20.9951468 , 2459587.31467 , 0.265173145 , 24.9096879 , 2.333258533
False , K10L00075J , None , 41.8054986 , 140.2827016 , 2459398.8352731 , 0.125672377 , 27.9247904 , 2.775847478
False , K10E00066N , None , 162.3343922 , 10.9954305 , 2455281.2904205 , 0.015548599 , 5.5131286 , 2.758300202
False , K10C00066V , None , 9.5948677 , 126.2437707 , 2458618.247793 , 0.148794221 , 8.8169139 , 2.376782074
False , K10J00174M , None , 122.6788284 , 59.528968 , 2458194.4134269 , 0.046569097 , 13.5024669 , 2.476527457
False , K10J00029W , None , 269.56232 , 87.7090497 , 2455878.4635984 , 0.04058346 , 7.3518499 , 2.624429687
False , K10B00003P , None , 74.6523104 , 93.3301253 , 2455409.6747952 , 0.159082349 , 10.2937154 , 2.00310441
False , K10B00005B , None , 94.9076196 , 119.9701117 , 2457707.3707858 , 0.016417837 , 13.7372407 , 3.04585625
False , K10A00110G , None , 199.4367299 , 354.973845 , 2459107.5053411 , 0.143316653 , 13.957183 , 2.588395479
False , K10C00133Z , None , 46.2667674 , 287.3086353 , 2458738.3323244 , 0.103430017 , 14.1100377 , 2.794424493
True , K10E00044F , None , 235.0868733 , 173.722365 , 2458765.5823235 , 0.888051397 , 38.0217199 , 0.244843038
False , K10L00047D , None , 278.5151868 , 43.3022301 , 2458955.7121917 , 0.235223655 , 2.3601662 , 1.682232639
False , K10E00088P , None , 200.4470515 , 333.9217174 , 2458208.8753662 , 0.053329893 , 19.4301913 , 1.804754991
False , K10E00012B , None , 83.3952941 , 319.5496996 , 2455143.397543 , 0.363876489 , 26.7029978 , 1.452449293
False , K10H00055H , None , 292.2090671 , 289.3500915 , 2459200.9963179 , 0.257030003 , 20.4007279 , 2.3456974
True , K10E00021F , None , 144.663605 , 299.7749175 , 2457966.2618343 , 0.721163908 , 10.4254541 , 0.677156136
False , K10H00066O , None , 136.4023495 , 120.1551141 , 2457802.4237973 , 0.063759233 , 16.1000842 , 2.868001308
True , K10L00034K , None , 249.2539878 , 130.1471871 , 2459031.648478 , 0.807433221 , 5.3253102 , 0.352510296
False , K10B00068B , None , 112.4175843 , 77.9349597 , 2459326.6101003 , 0.230379772 , 14.708913 , 2.430831871
False , K10A00030T , None , 7.7946686 , 87.8213098 , 2459193.2555378 , 0.134532349 , 8.777641 , 2.677184049
False , K10C00248A , None , 232.4414507 , 337.3475288 , 2457999.3892669 , 0.176201816 , 1.9966659 , 1.89927303
False , K10M00093M , None , 56.8041119 , 287.6450963 , 2458757.7465973 , 0.079365102 , 3.1767633 , 2.556816586
False , K10G00125U , None , 229.907311 , 50.7268721 , 2459152.6101712 , 0.067306019 , 7.0596312 , 2.660019205
False , K10E00032B , None , 189.09353 , 162.6888859 , 2459225.7298508 , 0.087542417 , 13.9628228 , 2.423818014
False , K10C00067B , None , 146.8661784 , 318.4574374 , 2455122.0747906 , 0.105439857 , 6.1957291 , 1.978612783
False , K10F00017R , None , 172.6643892 , 54.7513248 , 2455505.1779768 , 0.168112104 , 3.490145 , 2.602290617
False , K10G00102E , None , 220.9079484 , 63.0007641 , 2458614.2653637 , 0.207882522 , 16.9252953 , 2.092517751
False , K10L00108S , None , 40.8440156 , 256.5885253 , 2458413.1483674 , 0.473994432 , 39.9076158 , 1.317629568
False , K10D00005W , None , 50.4626566 , 107.8996266 , 2458001.6295662 , 0.124124404 , 2.1737238 , 2.097185147
False , K10G00030B , None , 181.1131277 , 28.8574861 , 2455296.1204234 , 0.187738426 , 14.0224509 , 2.175449297
False , K10L00108Q , None , 225.1242331 , 125.240876 , 2459455.6156362 , 0.245113043 , 17.9200042 , 2.235136767
False , K10F00123D , None , 270.2902767 , 31.4434994 , 2458799.4281208 , 0.057020102 , 5.9917184 , 2.439109172
False , K10E00044P , None , 7.2664781 , 164.7924463 , 2459132.4322615 , 0.172674275 , 7.4672628 , 1.910748445
False , K10C00106E , None , 56.2314266 , 22.0135092 , 2455027.8813502 , 0.149243098 , 1.5550498 , 2.09812729
True , K10C00018L , None , 30.3325626 , 160.1473912 , 2458481.2808524 , 0.561577018 , 18.2591156 , 1.17588013
