# isNEO , objectID , objectType , orbit_AP , orbit_LAN , orbit_TP , orbit_e , orbit_i , orbit_q
False , K10A00004K , None , 292.7943578 , 132.2723927 , 2458212.1331113 , 0.222641703 , 2.0881714 , 2.031577331
True , K10A00000F , None , 242.8519678 , 105.2412226 , 2458567.8292123 , 0.297760917 , 23.6096343 , 0.675644252
False , K10A00010B , None , 200.910356 , 297.144642 , 2459421.4123622 , 0.063562171 , 24.6724893 , 2.967455084
False , K10A00011P , None , 241.4265272 , 67.0639724 , 2459119.4090874 , 0.164376085 , 5.8902382 , 2.162783376
False , K10A00010V , None , 14.9414148 , 49.5013498 , 2458153.1249922 , 0.137482633 , 4.602455 , 2.25640709
False , K10A00008M , None , 233.0944116 , 297.8919634 , 2459223.6303227 , 0.211049512 , 21.3656877 , 1.827163506
False , K10A00003X , None , 265.9142335 , 317.0551891 , 2457695.9972782 , 0.061451963 , 8.7034727 , 2.876572405
False , K10A00001Z , None , 118.4968625 , 332.6366737 , 2459325.2159687 , 0.151755651 , 5.143439 , 2.732633831
False , K10A00002D , None , 0.472903 , 282.5341207 , 2456117.3182378 , 0.098501539 , 25.7911886 , 2.693813045
False , K10A00004C , None , 148.9291917 , 253.4657506 , 2457958.0559476 , 0.095583333 , 13.3653471 , 2.296399124
True , K10A00000J , None , 176.9876417 , 232.8788477 , 2458630.9942017 , 0.602027578 , 1.3253611 , 1.129644778
False , K10A00010Z , None , 39.3237678 , 66.6164192 , 2455199.5136314 , 0.250018155 , 5.2611966 , 1.924939985
True , K10A00002M , None , 323.5600838 , 45.7086134 , 2458383.2323293 , 0.51776952 , 1.2646972 , 0.708329673
True , K10A00002L , None , 20.771309 , 106.0874207 , 2458616.3483717 , 0.430400749 , 7.5096662 , 0.999063101
False , K10A00004X , None , 303.6521024 , 91.0095259 , 2459228.9643953 , 0.225998402 , 28.4481579 , 2.505475813
False , K10A00000G , None , 44.5649398 , 89.2934221 , 2459362.5683206 , 0.107739853 , 11.1103587 , 2.760831737
False , K10A00007B , None , 118.4675244 , 122.6597995 , 2455835.7017346 , 0.094904501 , 14.1460277 , 2.823190648
False , K10A00000H , None , 178.5897887 , 294.356 , 2458594.6080583 , 0.518375468 , 12.1109716 , 1.337665447
False , K10A00007G , None , 75.8416938 , 134.0739697 , 2455599.2505682 , 0.103476829 , 3.1188761 , 2.581913093
True , K10A00000L , None , 34.1711524 , 110.433633 , 2458611.78605 , 0.397209684 , 9.4406036 , 1.053910587
False , K10A00009U , None , 196.2600297 , 294.0647265 , 2459027.325353 , 0.216113054 , 4.0003968 , 2.348304166
