# Obs_X , Obs_Y , Obs_Z , UV_X , UV_Y , UV_Z , Vmag , detID , eclipticLat , obsCode , solarElong , timeUTC , trkID
-0.224268193141415 , 0.9574595516670519 , -1.734196827553794e-05 , 0.02526283730486916 , 0.8134615652149142 , 0.5810697642877399 , 17.7 , 00000000_00_00B1zXr , 0.6200425177437093 , C41 , 2.4755173760491376 , 2456661.34091 , 00000aY-PQ
-0.2242869747734045 , 0.9574552030671317 , -1.734322456462141e-05 , 0.025266131295486268 , 0.8134707245305407 , 0.5810567983778491 , 17.2 , 00000000_00_00B1zXs , 0.6200265863357322 , C41 , 2.475523925265623 , 2456661.342 , 00000aY-PQ
-0.2522360583759708 , 0.9504357195912972 , -2.7405137230776515e-06 , -0.8374497563115026 , 0.5460338686939751 , 0.022911130327760487 , 19.2 , KK4CN90000004oza010000001 , 0.02291313521939294 , 691 , 2.4077089458535035 , 2455201.96462 , 000000jHP0
-0.25253659995209266 , 0.9503529404850668 , -1.188026309469026e-06 , -0.8374179913942686 , 0.5460871154149747 , 0.022802852166792658 , 19.4 , KK4CN90000004oza010000002 , 0.022804828762752357 , 691 , 2.4080904970565977 , 2455201.98233 , 000000jHP0
-0.25283634016715095 , 0.9502700684108409 , 4.0291405859405163e-07 , -0.8373880002021586 , 0.5461375636528959 , 0.022695785615585086 , 19.4 , KK4CN90000004oza010000003 , 0.022697734495578215 , 691 , 2.4084679363426202 , 2455202.00002 , 000000jHP0
-0.2655702058879898 , 0.9468229744460364 , -1.1952853862612087e-05 , -0.836142646443832 , 0.5482114411556374 , 0.018157383731255652 , 19.6 , KK56410100004pAv010000001 , 0.018158381599048104 , 291 , 2.42439810969625 , 2455202.75691 , 000000jUxl
-0.2656364453337132 , 0.9468047589092221 , -1.196769742846729e-05 , -0.8361357148836932 , 0.5482227880450652 , 0.018133972648895477 , 19.4 , KK56410100004pAv010000002 , 0.018134966661502862 , 291 , 2.424481717035236 , 2455202.76079 , 000000jUxl
-0.265704903690213 , 0.9467859075479504 , -1.197399963651949e-05 , -0.836128782608849 , 0.5482341347015464 , 0.018110561589603558 , 19.5 , KK56410100004pAv010000003 , 0.018111551756973408 , 291 , 2.4245676706132837 , 2455202.7648 , 000000jUxl
-0.2836356924096791 , 0.9415960865149935 , -1.0312589857252608e-05 , -0.8341978704436335 , 0.5513421011532048 , 0.011653344724850192 , 19.1 , KK67lh0000004pSA010000001 , 0.011653608495866156 , 291 , 2.447315114120826 , 2455203.83123 , 000000jpDJ
-0.283700822474931 , 0.9415764664241476 , -1.0163597309197689e-05 , -0.8341903763260163 , 0.5513539390803616 , 0.011629699292249983 , 19.1 , KK67lh0000004pSA010000002 , 0.011629961460828482 , 291 , 2.447398613238345 , 2455203.83507 , 000000jpDJ
-0.2837840854603542 , 0.9415513474601603 , -9.962045643063089e-06 , -0.8341808253743414 , 0.5513690144266835 , 0.011600021893520909 , 19.1 , KK67lh0000004pSA010000003 , 0.011600282060081214 , 291 , 2.447505296742224 , 2455203.83998 , 000000jpDJ
-0.30075239082434746 , 0.9362983177487111 , -8.927788695150943e-06 , -0.8321927183887944 , 0.5544601594308857 , 0.00540472613049523 , 19.1 , KK78Fh0000004pgC010000001 , 0.005404752443808428 , 291 , 2.4693058168789768 , 2455204.85531 , 000000k41L
-0.3008170958693498 , 0.9362774284736387 , -8.72843673563375e-06 , -0.83218456690515 , 0.5544726216532146 , 0.005381304850959575 , 19.1 , KK78Fh0000004pgC010000002 , 0.005381330823665346 , 291 , 2.469390005580208 , 2455204.85915 , 000000k41L
-0.30088734606142614 , 0.9362547211853346 , -8.504183259714548e-06 , -0.8321756829316355 , 0.5544862064079153 , 0.005355337582730654 , 19.1 , KK78Fh0000004pgC010000003 , 0.005355363181253908 , 291 , 2.4694814849780093 , 2455204.86332 , 000000k41L
-0.3032254151625271 , 0.9354843390535977 , 2.352561854214435e-06 , -0.8318760082812332 , 0.5549433650954982 , 0.004490922240053923 , 19.2 , KK7CmI0000004pjN0100000QL , 0.0044909373359638995 , 291 , 2.472536666866606 , 2455205.00283 , 000000k6FJ
-0.3035644655103813 , 0.9353707641268262 , 4.201847877058875e-06 , -0.8318324328405546 , 0.5550096902143142 , 0.004364337610123728 , 19.2 , KK7CmI0000004pjN0100000QM , 0.004364351465154298 , 291 , 2.472980322050116 , 2455205.0232 , 000000k6FJ
-0.303899729762973 , 0.9352581716931169 , 6.0147287957362755e-06 , -0.8317896640417707 , 0.5550747503857172 , 0.004239844043349597 , 19.2 , KK7CmI0000004pjN0100000QN , 0.00423985674622121 , 291 , 2.473418478248879 , 2455205.04338 , 000000k6FJ
-0.3822362946198692 , 0.9063142542555322 , -8.888836312689867e-06 , -0.8203620187494758 , 0.5712795426036135 , -0.02541342943978367 , 18.9 , KKCLgY0100005Xn001000000m , -0.025416165746801538 , 704 , 2.577687581295422 , 2455209.82037 , 000001bMkp
-0.38243333137750946 , 0.9062313917649125 , -8.300922519110038e-06 , -0.8203269256249849 , 0.5713267858003186 , -0.025484091542322434 , 20.0 , KKCLgY0100005Xn001000000n , -0.025486850742256623 , 704 , 2.5779605478384324 , 2455209.83244 , 000001bMkp
-0.38263072072414467 , 0.9061481283162603 , -7.645099685010023e-06 , -0.8202922504218965 , 0.5713725630722409 , -0.02557377692165367 , 19.6 , KKCLgY0100005Xn001000000o , -0.02557656536107931 , 704 , 2.5782317768552216 , 2455209.84454 , 000001bMkp
